tweet_id,retweet_count,favorite_count
873580283840344065,3610,22767
873337748698140672,1462,0
873213775632977920,1462,6729
872967104147763200,4983,25636
872820683541237760,3419,13876
872620804844003328,3353,19506
872486979161796608,8313,38379
872122724285648897,7451,32305
871879754684805121,10116,35436
871762521631449091,3222,19052
871515927908634625,3208,19020
871166179821445120,5276,0
871102520638267392,5097,19729
871032628920680449,3535,21446
870804317367881728,5713,31754
870726314365509632,3,114
870656317836468226,2442,11656
870374049280663552,24496,78395
870308999962521604,3843,20700
870063196459192321,7694,34525
869772420881756160,9370,40246
869702957897576449,5847,26704
869596645499047938,2897,15096
869227993411051520,3506,19335
868880397819494401,13400,61930
868639477480148993,1933,0
868622495443632128,4923,25261
868552278524837888,1933,9547
867900495410671616,3892,22962
867774946302451713,6848,32212
867421006826221569,2320,15246
867072653475098625,112,0
867051520902168576,7347,30596
866720684873056260,4477,19022
866686824827068416,3260,18322
866450705531457537,32866,116172
866334964761202691,13312,49812
866094527597207552,7831,0
865718153858494464,5256,24402
865359393868664832,4688,25178
865006731092295680,7205,26680
864873206498414592,8135,30729
864279568663928832,2832,13877
864197398364647424,8306,28565
863907417377173506,3881,19633
863553081350529029,3929,14561
863471782782697472,2284,0
863432100342583297,4932,22683
863427515083354112,89,2103
863079547188785154,1043,8373
863062471531167744,2284,8068
862831371563274240,4844,18325
862722525377298433,3330,16333
862457590147678208,4643,19528
862096992088072192,21797,70968
861383897657036800,10093,34489
861288531465048066,3904,16422
861005113778896900,3600,15968
860981674716409858,2027,0
860924035999428608,755,0
860563773140209665,2027,7169
860524505164394496,5022,22647
860276583193509888,3318,17599
860184849394610176,5529,15994
860177593139703809,29282,0
859924526012018688,3885,18775
859851578198683649,3326,14798
859607811541651456,1486,17866
859196978902773760,28590,86274
859074603037188101,12944,32470
858860390427611136,7695,0
858843525470990336,3312,14990
858471635011153920,4622,20696
858107933456039936,2765,15157
857989990357356544,2476,15492
857746408056729600,10124,32996
857393404942143489,1571,5671
857263160327368704,4315,19343
857214891891077121,17,215
857062103051644929,162,0
857029823797047296,3805,18187
856543823941562368,2764,15770
856526610513747968,1799,11471
856330835276025856,644,0
856288084350160898,15,497
856282028240666624,6034,26851
855862651834028034,25,325
855860136149123072,936,4756
855857698524602368,2025,11499
855851453814013952,17311,44330
855818117272018944,5218,25838
855459453768019968,7906,28922
855245323840757760,5736,0
855138241867124737,43,0
854732716440526848,5849,22112
854482394044301312,6624,28475
854365224396361728,4531,18370
854120357044912130,7207,31146
854010172552949760,3052,15798
853760880890318849,5557,27836
853639147608842240,9719,33801
853299958564483072,3452,15111
852936405516943360,1935,0
852912242202992640,1760,8815
852672615818899456,2100,14554
852553447878664193,3377,15924
852311364735569921,9666,32415
852226086759018497,6659,19553
852189679701164033,1551,11210
851861385021730816,19,0
851591660324737024,3388,15928
851464819735769094,6881,23774
851224888060895234,5598,20277
850753642995093505,8908,30229
850380195714523136,2550,12858
